# ABR CC PLAY REBUFFER
puffer_ttp_static cubic 24.852 0.0
mpc cubic 53.15 0.0
puffer_ttp_static cubic 33.296 0.0
mpc cubic 30.611 0.0
mpc bbr 33.387 0.0
mpc cubic 5.401 0.0
mpc cubic 282.754 0.0
robust_mpc bbr 31.741 0.0
mpc bbr 11.573 0.0
mpc bbr 1529.877 0.0
robust_mpc bbr 11.697 0.0
puffer_ttp_static cubic 75.441 0.0
robust_mpc bbr 18.302 0.0
mpc cubic 23.162 0.0
pensieve cubic 98.957 0.0
robust_mpc bbr 19.996 0.0
robust_mpc bbr 7.183 0.0
puffer_ttp_static cubic 80.809 0.0
puffer_ttp_static cubic 47.849 0.0
mpc bbr 10.952 0.0
pensieve cubic 89.043 0.0
puffer_ttp_static bbr 13.115 0.0
mpc bbr 5.749 0.0
puffer_ttp_static bbr 7.053 0.0
puffer_ttp_static cubic 67.649 0.0
linear_bba bbr 5.803 0.0
puffer_ttp_static bbr 5.318 0.0
linear_bba bbr 5.317 0.0
puffer_ttp_static bbr 25.54 0.0
mpc cubic 256.587 0.0
mpc cubic 89.296 0.0
linear_bba bbr 7.651 0.0
puffer_ttp_static bbr 817.946 0.0
linear_bba bbr 59.744 0.0
linear_bba cubic 7.946 0.0
puffer_ttp_static cubic 5.743 0.0
puffer_ttp_static cubic 12.789 0.0
puffer_ttp_static bbr 23.458 5.500000000000001
mpc cubic 19.192 0.0
linear_bba cubic 12.1 0.0
robust_mpc cubic 16.149 0.0
linear_bba cubic 13.7 0.0
pensieve cubic 3629.681 0.0
puffer_ttp_static bbr 6.412 0.0
puffer_ttp_static bbr 111.628 0.0
puffer_ttp_static bbr 5.571 0.0
puffer_ttp_static bbr 6.579 0.6999999999999993
mpc cubic 19.399 0.0
robust_mpc cubic 400.381 0.0
mpc cubic 108.92 0.0
robust_mpc bbr 69.588 0.0
robust_mpc bbr 4428.036 0.0
puffer_ttp_static bbr 188.741 0.0
linear_bba bbr 46.195 0.0
mpc cubic 5.102 0.0
linear_bba cubic 53.748 0.0
robust_mpc bbr 1570.437 0.0
pensieve cubic 197.49 0.0
pensieve cubic 376.119 0.0
puffer_ttp_static cubic 570.278 2.5519999999999996
pensieve cubic 4580.781 0.0
robust_mpc bbr 11600.747 0.0
robust_mpc cubic 9.7 0.0
puffer_ttp_static bbr 9.746 0.0
robust_mpc cubic 16.857 0.0
pensieve bbr 45.38 0.0
mpc cubic 10.928 0.0
pensieve bbr 169.278 0.0
linear_bba bbr 2334.439 6.949999999999999
pensieve cubic 113.449 0.0
puffer_ttp_static cubic 228.7 0.0
puffer_ttp_static bbr 2680.458 0.0
pensieve cubic 803.233 0.0
pensieve bbr 29.402 0.0
pensieve cubic 6.505 0.0
pensieve cubic 10.44 0.0
puffer_ttp_static cubic 642.626 0.0
mpc cubic 165.743 0.0
puffer_ttp_static cubic 79.743 0.0
mpc cubic 15.409 0.0
mpc cubic 9.524 0.0
pensieve cubic 5.454 0.0
puffer_ttp_static cubic 126.051 0.0
mpc cubic 14.487 0.0
pensieve cubic 672.892 0.0
puffer_ttp_static cubic 8.61 0.0
mpc cubic 8.967 0.0
puffer_ttp_static cubic 11.9 0.0
